Name,Description,Price,Rating,Capacity,Ideal For
EspressoMaster 2000,Compact and efficient espresso machine with advanced brewing technology.,$399,4.5,2 cups,Espresso lovers
CafePro Elite,Professional-grade coffee machine with multiple brewing options and a sleek design.,$899,4.8,4 cups,Coffee enthusiasts and small cafes
BrewMaster Classic,Durable and easy-to-use coffee maker with a timeless design.,$129,4.2,12 cups,Home use
LatteArt Pro,Advanced coffee machine with built-in milk frother for perfect lattes and cappuccinos.,$599,4.6,2 cups,Latte and cappuccino lovers
QuickBrew Express,Fast and efficient coffee maker for a quick cup of coffee.,$89,4.0,1 cup,Busy individuals
Grind&Brew Plus,Coffee machine with integrated grinder for freshly ground coffee every time.,$349,4.4,10 cups,Coffee purists
Cappuccino King,High-end machine for creating professional-quality cappuccinos.,$799,4.7,2 cups,Cappuccino aficionados
SingleServe Wonder,Compact and convenient single-serve coffee machine for a quick brew.,$59,3.9,1 cup,Individuals on-the-go
FrenchPress Classic,Traditional French press for a rich and flavorful cup of coffee.,$29,4.1,4 cups,French press enthusiasts
ColdBrew Master,Specialized machine for making smooth and refreshing cold brew coffee.,$199,4.3,6 cups,Cold brew lovers
